,timestamp,highest_layer,length,dest_ip,dest_port
234,1521394922.925268,TCP,54,10.0.2.2,55972
235,1521394922.936488,PNG,1653,10.0.2.2,55952
236,1521394922.936673,TCP,54,172.17.0.2,8080
237,1521394922.939384,HTTP,783,172.17.0.2,8080
238,1521394922.940026,TCP,54,10.0.2.2,55968
239,1521394922.944562,PNG,1679,10.0.2.2,55972
240,1521394922.944741,TCP,54,172.17.0.2,8080
241,1521394922.944746,TCP,54,172.17.0.2,8080
242,1521394922.946796,HTTP,783,172.17.0.2,8080
243,1521394922.967698,PNG,1694,10.0.2.2,55972
244,1521394922.967915,TCP,54,172.17.0.2,8080
245,1521394922.970352,HTTP,783,172.17.0.2,8080
246,1521394922.973401,PNG,1566,10.0.2.2,55970
247,1521394922.973586,TCP,54,172.17.0.2,8080
248,1521394922.973591,TCP,54,172.17.0.2,8080
249,1521394922.975219,HTTP,783,172.17.0.2,8080
250,1521394922.97532,TCP,54,10.0.2.2,55970
251,1521394922.975954,TCP,54,10.0.2.2,55952
252,1521394922.97665,PNG,1728,10.0.2.2,55972
253,1521394922.976849,TCP,54,172.17.0.2,8080
254,1521394922.978683,HTTP,783,172.17.0.2,8080
255,1521394922.979161,PNG,1552,10.0.2.2,55966
256,1521394922.979328,TCP,54,172.17.0.2,8080
257,1521394922.979333,TCP,54,172.17.0.2,8080
258,1521394922.981173,HTTP,783,172.17.0.2,8080
259,1521394922.981275,TCP,54,10.0.2.2,55966
260,1521394922.986969,PNG,1675,10.0.2.2,55966
261,1521394922.987146,TCP,54,172.17.0.2,8080
262,1521394922.98718,TCP,54,172.17.0.2,8080
263,1521394922.988962,HTTP,783,172.17.0.2,8080
264,1521394922.99321,PNG,1645,10.0.2.2,55972
265,1521394922.993406,TCP,54,172.17.0.2,8080
266,1521394922.995191,HTTP,783,172.17.0.2,8080
267,1521394922.996684,PNG,1635,10.0.2.2,55966
268,1521394922.99687,TCP,54,172.17.0.2,8080
269,1521394922.998694,HTTP,783,172.17.0.2,8080
270,1521394923.002779,PNG,1604,10.0.2.2,55972
271,1521394923.002954,TCP,54,172.17.0.2,8080
272,1521394923.005131,HTTP,783,172.17.0.2,8080
273,1521394923.009776,PNG,1507,10.0.2.2,55972
274,1521394923.009962,TCP,54,172.17.0.2,8080
275,1521394923.011643,HTTP,783,172.17.0.2,8080
276,1521394923.016672,PNG,1592,10.0.2.2,55966
277,1521394923.016842,TCP,54,172.17.0.2,8080
278,1521394923.018782,HTTP,783,172.17.0.2,8080
279,1521394923.039334,PNG,1600,10.0.2.2,55952
280,1521394923.039564,TCP,54,172.17.0.2,8080
281,1521394923.039571,TCP,54,172.17.0.2,8080
282,1521394923.042146,HTTP,783,172.17.0.2,8080
283,1521394923.042213,TCP,54,10.0.2.2,55952
284,1521394923.043606,PNG,1659,10.0.2.2,55972
285,1521394923.043785,TCP,54,172.17.0.2,8080
286,1521394923.050232,PNG,1722,10.0.2.2,55952
287,1521394923.050424,TCP,54,172.17.0.2,8080
288,1521394923.050429,TCP,54,172.17.0.2,8080
289,1521394923.052156,PNG,1756,10.0.2.2,55968
290,1521394923.052357,TCP,54,172.17.0.2,8080
291,1521394923.052362,TCP,54,172.17.0.2,8080
292,1521394923.054184,PNG,1650,10.0.2.2,55970
293,1521394923.054582,TCP,54,172.17.0.2,8080
294,1521394923.054638,TCP,54,172.17.0.2,8080
295,1521394923.055977,TCP,54,10.0.2.2,55966
296,1521394923.061624,DATA-TEXT-LINES,459,10.0.2.2,55959
297,1521394923.061796,TCP,54,172.17.0.2,8080
298,1521394923.069116,PNG,1534,10.0.2.2,55966
299,1521394923.069386,TCP,54,172.17.0.2,8080
300,1521394923.069398,TCP,54,172.17.0.2,8080
301,1521394927.154014,HTTP,859,172.17.0.2,8080
302,1521394927.154076,TCP,54,10.0.2.2,55966
303,1521394927.252508,TCP,7354,10.0.2.2,55966
304,1521394927.252627,TCP,1754,10.0.2.2,55966
305,1521394927.252691,TCP,54,172.17.0.2,8080
306,1521394927.252696,TCP,54,172.17.0.2,8080
307,1521394927.25277,TCP,54,172.17.0.2,8080
308,1521394927.252772,TCP,54,172.17.0.2,8080
309,1521394927.252774,TCP,54,172.17.0.2,8080
310,1521394927.252775,TCP,54,172.17.0.2,8080
311,1521394927.252777,TCP,54,172.17.0.2,8080
312,1521394927.252898,TCP,874,10.0.2.2,55966
313,1521394927.252985,TCP,54,172.17.0.2,8080
314,1521394927.265234,DATA-TEXT-LINES,459,10.0.2.2,55966
315,1521394927.26744,TCP,54,172.17.0.2,8080
316,1521394928.43434,HTTP,979,172.17.0.2,8080
317,1521394928.434384,TCP,54,10.0.2.2,55966
318,1521394928.503331,TCP,7354,10.0.2.2,55966
319,1521394928.50344,TCP,1754,10.0.2.2,55966
320,1521394928.503528,TCP,2256,10.0.2.2,55966
321,1521394928.503625,TCP,54,172.17.0.2,8080
322,1521394928.503629,TCP,54,172.17.0.2,8080
323,1521394928.503631,TCP,54,172.17.0.2,8080
324,1521394928.503632,TCP,54,172.17.0.2,8080
325,1521394928.503633,TCP,54,172.17.0.2,8080
326,1521394928.503635,TCP,54,172.17.0.2,8080
327,1521394928.503636,TCP,54,172.17.0.2,8080
328,1521394928.503638,TCP,54,172.17.0.2,8080
329,1521394928.50364,TCP,54,172.17.0.2,8080
330,1521394928.510017,DATA-TEXT-LINES,459,10.0.2.2,55966
331,1521394928.510989,TCP,54,172.17.0.2,8080
332,1521394933.86599,HTTP,812,172.17.0.2,8080
333,1521394933.866035,TCP,54,10.0.2.2,55966
334,1521394933.908798,TCP,7354,10.0.2.2,55966
335,1521394933.90902,TCP,54,172.17.0.2,8080
336,1521394933.909026,TCP,54,172.17.0.2,8080
337,1521394933.909028,TCP,54,172.17.0.2,8080
338,1521394933.90903,TCP,54,172.17.0.2,8080
339,1521394933.909032,TCP,54,172.17.0.2,8080
340,1521394933.90929,TCP,1754,10.0.2.2,55966
341,1521394933.909454,TCP,54,172.17.0.2,8080
342,1521394933.90946,TCP,54,172.17.0.2,8080
343,1521394933.909494,TCP,468,10.0.2.2,55966
344,1521394933.909924,TCP,54,172.17.0.2,8080
345,1521394933.919997,HTTP,714,172.17.0.2,8080
346,1521394933.92006,TCP,54,10.0.2.2,55959
347,1521394933.921516,TCP,5023,10.0.2.2,55959
348,1521394933.921763,TCP,54,172.17.0.2,8080
349,1521394933.92177,TCP,54,172.17.0.2,8080
350,1521394933.921773,TCP,54,172.17.0.2,8080
351,1521394933.921776,TCP,54,172.17.0.2,8080
352,1521394933.921927,DATA-TEXT-LINES,59,10.0.2.2,55959
353,1521394933.922111,TCP,54,172.17.0.2,8080
354,1521394933.923712,DATA-TEXT-LINES,459,10.0.2.2,55966
355,1521394933.925302,TCP,54,172.17.0.2,8080
356,1521394938.008579,HTTP,841,172.17.0.2,8080
357,1521394938.008628,TCP,54,10.0.2.2,55966
358,1521394938.538495,TCP,7354,10.0.2.2,55966
359,1521394938.538596,TCP,1754,10.0.2.2,55966
360,1521394938.538801,TCP,54,172.17.0.2,8080
361,1521394938.538809,TCP,54,172.17.0.2,8080
362,1521394938.538812,TCP,54,172.17.0.2,8080
363,1521394938.538814,TCP,54,172.17.0.2,8080
364,1521394938.538816,TCP,54,172.17.0.2,8080
365,1521394938.538818,TCP,54,172.17.0.2,8080
366,1521394938.538821,TCP,54,172.17.0.2,8080
367,1521394938.538918,TCP,1228,10.0.2.2,55966
368,1521394938.539036,TCP,54,172.17.0.2,8080
369,1521394938.615525,DATA-TEXT-LINES,459,10.0.2.2,55966
370,1521394938.615798,TCP,54,172.17.0.2,8080
371,1521394942.042459,HTTP,968,172.17.0.2,8080
372,1521394942.04252,TCP,54,10.0.2.2,55966
373,1521394942.140692,TCP,7354,10.0.2.2,55966
374,1521394942.140792,TCP,1754,10.0.2.2,55966
375,1521394942.140886,TCP,54,172.17.0.2,8080
