,timestamp,highest_layer,length,dest_ip,source_ip,dest_port,source_port
317,1521397350.050801,DNS,366,10.0.2.15,162.212.156.148,43917,53
318,1521397350.052781,DNS,324,162.212.156.148,10.0.2.15,53,43917
319,1521397350.070255,DNS,329,10.0.2.15,162.212.156.148,43917,53
320,1521397350.070314,DNS,324,162.212.156.148,10.0.2.15,53,43917
321,1521397350.084156,DNS,329,10.0.2.15,162.212.156.148,43917,53
322,1521397350.084234,DNS,324,162.212.156.148,10.0.2.15,53,43917
323,1521397350.100379,DNS,329,10.0.2.15,162.212.156.148,43917,53
324,1521397350.100439,DNS,324,162.212.156.148,10.0.2.15,53,43917
325,1521397350.113859,DNS,329,10.0.2.15,162.212.156.148,43917,53
326,1521397350.113923,DNS,255,162.212.156.148,10.0.2.15,53,43917
327,1521397350.129828,DNS,360,10.0.2.15,162.212.156.148,43917,53
328,1521397350.130071,DNS,202,162.212.156.148,10.0.2.15,53,43917
329,1521397350.144416,DNS,307,10.0.2.15,162.212.156.148,43917,53
330,1521397350.144667,DNS,221,162.212.156.148,10.0.2.15,53,43917
331,1521397350.158884,DNS,326,10.0.2.15,162.212.156.148,43917,53
332,1521397350.159157,DNS,270,162.212.156.148,10.0.2.15,53,43917
333,1521397350.182258,DNS,375,10.0.2.15,162.212.156.148,43917,53
334,1521397350.185981,DNS,324,162.212.156.148,10.0.2.15,53,43917
335,1521397350.205437,DNS,329,10.0.2.15,162.212.156.148,43917,53
336,1521397350.205499,DNS,324,162.212.156.148,10.0.2.15,53,43917
337,1521397350.218907,DNS,329,10.0.2.15,162.212.156.148,43917,53
338,1521397350.219005,DNS,324,162.212.156.148,10.0.2.15,53,43917
339,1521397350.233498,DNS,329,10.0.2.15,162.212.156.148,43917,53
340,1521397350.233559,DNS,324,162.212.156.148,10.0.2.15,53,43917
341,1521397350.247125,DNS,329,10.0.2.15,162.212.156.148,43917,53
342,1521397350.247185,DNS,324,162.212.156.148,10.0.2.15,53,43917
343,1521397350.281033,DNS,329,10.0.2.15,162.212.156.148,43917,53
344,1521397350.281132,DNS,225,162.212.156.148,10.0.2.15,53,43917
345,1521397350.315192,DNS,230,10.0.2.15,162.212.156.148,43917,53
346,1521397350.315435,DNS,324,162.212.156.148,10.0.2.15,53,43917
347,1521397350.340805,DNS,391,10.0.2.15,162.212.156.148,43917,53
348,1521397350.340948,DNS,324,162.212.156.148,10.0.2.15,53,43917
349,1521397350.368169,DNS,329,10.0.2.15,162.212.156.148,43917,53
350,1521397350.368296,DNS,324,162.212.156.148,10.0.2.15,53,43917
351,1521397350.381777,DNS,329,10.0.2.15,162.212.156.148,43917,53
352,1521397350.381839,DNS,324,162.212.156.148,10.0.2.15,53,43917
353,1521397350.395499,DNS,329,10.0.2.15,162.212.156.148,43917,53
354,1521397350.395561,DNS,324,162.212.156.148,10.0.2.15,53,43917
355,1521397350.417139,DNS,329,10.0.2.15,162.212.156.148,43917,53
356,1521397350.417255,DNS,225,162.212.156.148,10.0.2.15,53,43917
357,1521397350.433077,DNS,292,10.0.2.15,162.212.156.148,43917,53
358,1521397350.433319,DNS,324,162.212.156.148,10.0.2.15,53,43917
359,1521397350.451326,DNS,329,10.0.2.15,162.212.156.148,43917,53
360,1521397350.451401,DNS,324,162.212.156.148,10.0.2.15,53,43917
361,1521397350.465111,DNS,329,10.0.2.15,162.212.156.148,43917,53
362,1521397350.465172,DNS,324,162.212.156.148,10.0.2.15,53,43917
363,1521397350.479907,DNS,329,10.0.2.15,162.212.156.148,43917,53
364,1521397350.479977,DNS,324,162.212.156.148,10.0.2.15,53,43917
365,1521397350.493958,DNS,329,10.0.2.15,162.212.156.148,43917,53
366,1521397350.494017,DNS,324,162.212.156.148,10.0.2.15,53,43917
367,1521397350.512244,DNS,329,10.0.2.15,162.212.156.148,43917,53
368,1521397350.512322,DNS,225,162.212.156.148,10.0.2.15,53,43917
369,1521397350.527003,DNS,293,10.0.2.15,162.212.156.148,43917,53
370,1521397350.527208,DNS,324,162.212.156.148,10.0.2.15,53,43917
371,1521397350.544996,DNS,329,10.0.2.15,162.212.156.148,43917,53
372,1521397350.545059,DNS,324,162.212.156.148,10.0.2.15,53,43917
373,1521397350.564596,DNS,329,10.0.2.15,162.212.156.148,43917,53
